version: 1.0,published: 04/09/2019,date queried: 12/30/2020,grade: 9-12,domains: general

Word,Domain,Grade
masterful,general,9-12
misinterpret,general,9-12
moderately,general,9-12
negation,general,9-12
nutritious,general,9-12
outset,general,9-12
successively,general,9-12
succumb,general,9-12
unrealistic,general,9-12
unsupported,general,9-12
validate,general,9-12
artistry,general,9-12
avid,general,9-12
botany,general,9-12
convincingly,general,9-12
fearsome,general,9-12
foundational,general,9-12
hesitant,general,9-12
miscellaneous,general,9-12
persuasively,general,9-12
reputable,general,9-12
rigidly,general,9-12
securely,general,9-12
tragically,general,9-12
expressively,general,9-12
formalize,general,9-12
leisurely,general,9-12
omission,general,9-12
originality,general,9-12
specification,general,9-12
ably,general,9-12
causal,general,9-12
delineate,general,9-12
entice,general,9-12
inaccessible,general,9-12
induct,general,9-12
noticeably,general,9-12
rigidity,general,9-12
unusable,general,9-12
warmly,general,9-12
allowable,general,9-12
assort,general,9-12
economical,general,9-12
excitedly,general,9-12
mesmerize,general,9-12
intonation,general,9-12
misconception,general,9-12
appropriateness,general,9-12
adage,general,9-12
phonics,general,9-12
unscramble,general,9-12
